,start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng,_merge
25399,Central Park S & 6 Ave,Central Park S & 6 Ave,56,40.76590936,-73.97634151,40.76590936,-73.97634151,both
11536,7 Ave & Central Park South,7 Ave & Central Park South,40,40.7667405590595,-73.9790689945221,40.7667405590595,-73.9790689945221,both
69837,Roosevelt Island Tramway,Roosevelt Island Tramway,40,40.757284,-73.9536,40.757284,-73.9536,both
71294,Soissons Landing,Soissons Landing,37,40.69231660719192,-74.01486575603485,40.69231660719192,-74.01486575603485,both
9233,5 Ave & E 72 St,5 Ave & E 72 St,34,40.77282817,-73.96685276,40.77282817,-73.96685276,both
50779,Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,34,40.7643971,-73.97371465,40.7643971,-73.97371465,both
2763,12 Ave & W 40 St,12 Ave & W 40 St,33,40.76087502,-74.00277668,40.76087502,-74.00277668,both
26394,Centre St & Chambers St,Centre St & Chambers St,33,40.71273266,-74.0046073,40.71273266,-74.0046073,both
69835,Roosevelt Island Tramway,Motorgate,31,40.757284,-73.9536,40.7639089,-73.9477213,both
79566,W 20 St & 10 Ave,W 21 St & 6 Ave,29,40.745686,-74.005141,40.74173969,-73.99415556,both
70264,S 4 St & Wythe Ave,N 6 St & Bedford Ave,28,40.71285887,-73.96590294,40.71745169,-73.95850939,both
79960,W 21 St & 6 Ave,9 Ave & W 22 St,27,40.74173969,-73.99415556,40.7454973,-74.00197139,both
92061,West St & Chambers St,Pier 40 - Hudson River Park,27,40.71754834,-74.01322069,40.7277140777778,-74.01129573583603,both
93832,Yankee Ferry Terminal,Soissons Landing,27,40.68706579875912,-74.01675585121666,40.69231660719192,-74.01486575603485,both
26019,Central Park West & W 72 St,Central Park West & W 72 St,26,40.77579376683666,-73.9762057363987,40.77579376683666,-73.9762057363987,both
959,1 Ave & E 62 St,1 Ave & E 68 St,25,40.7612274,-73.96094022,40.76500525,-73.95818491,both
93834,Yankee Ferry Terminal,Yankee Ferry Terminal,25,40.687066,-74.016756,40.687066,-74.016756,both
21669,Broadway & W 41 St,Broadway & W 41 St,24,40.75513557,-73.98658032,40.75513557,-73.98658032,both
84117,W 42 St & 8 Ave,11 Ave & W 41 St,24,40.7575699,-73.99098507,40.76030096,-73.99884222,both
8315,46 Ave & 5 St,45 Ave & 21 St,23,40.74731,-73.95451,40.74737075646803,-73.94777297973631,both
25372,Central Park S & 6 Ave,7 Ave & Central Park South,23,40.76590936,-73.97634151,40.7667405590595,-73.9790689945221,both
91919,West St & Chambers St,10 Ave & W 14 St,23,40.71754834,-74.01322069,40.74198159994023,-74.00831580162048,both
92151,West St & Chambers St,West St & Chambers St,23,40.71754834,-74.01322069,40.71754834,-74.01322069,both
2758,12 Ave & W 40 St,10 Ave & W 14 St,22,40.76087502,-74.00277668,40.74198159994023,-74.00831580162048,both
2874,12 Ave & W 40 St,Pier 40 - Hudson River Park,21,40.76087502,-74.00277668,40.7277140777778,-74.01129573583603,both
6461,31 St & Newtown Ave,Newtown Ave & 23 St,21,40.7675487799971,-73.9209334552288,40.7713615,-73.9246145,both
9507,5 Ave & E 87 St,5 Ave & E 87 St,21,40.78232260730881,-73.95987510681152,40.78232260730881,-73.95987510681152,both
10600,6 Ave & W 33 St,6 Ave & W 45 St,21,40.74901271,-73.98848395,40.756951,-73.982631,both
15586,Amsterdam Ave & W 73 St,Amsterdam Ave & W 79 St,21,40.77966809007312,-73.98093044757842,40.7829391,-73.9786517,both
22359,Broadway & W 58 St,Broadway & W 58 St,21,40.76695317,-73.98169333,40.76695317,-73.98169333,both
24964,Center Blvd & 51 Ave,Center Blvd & 51 Ave,21,40.74336608027021,-73.95960688591003,40.74336608027021,-73.95960688591003,both
25369,Central Park S & 6 Ave,5 Ave & E 87 St,21,40.76590936,-73.97634151,40.78232260730881,-73.95987510681152,both
25879,Central Park West & W 68 St,Central Park West & W 68 St,21,40.7734066,-73.97782542,40.7734066,-73.97782542,both
44195,E 72 St & York Ave,2 Ave & E 72 St,21,40.76663814,-73.95348296,40.7687620293096,-73.95840793848038,both
65270,North Moore St & Greenwich St,Vesey St & Church St,21,40.72019521437465,-74.0103006362915,40.71221958009051,-74.01047229766846,both
1334,1 Ave & E 78 St,2 Ave & E 72 St,20,40.77140426,-73.9535166,40.7687620293096,-73.95840793848038,both
1833,10 Ave & W 14 St,West St & Chambers St,20,40.74198159994023,-74.00831580162048,40.71754834,-74.01322069,both
2967,12 Ave & W 40 St,West St & Chambers St,20,40.76087502,-74.00277668,40.71754834,-74.01322069,both
9637,5 Ave & E 93 St,5 Ave & E 93 St,20,40.7857851,-73.957481,40.7857851,-73.957481,both
