,start_station_name,value
1667,West St & Chambers St,653
1537,W 21 St & 6 Ave,651
484,Broadway & W 58 St,572
281,6 Ave & W 33 St,523
8,1 Ave & E 68 St,512
474,Broadway & W 25 St,502
771,E 33 St & 1 Ave,497
452,Broadway & E 21 St,496
29,12 Ave & W 40 St,487
1463,University Pl & E 14 St,478
450,Broadway & E 14 St,462
1553,W 31 St & 7 Ave,456
24,11 Ave & W 41 St,449
1668,West St & Liberty St,448
322,8 Ave & W 33 St,446
330,9 Ave & W 22 St,446
1542,W 22 St & 10 Ave,433
549,Central Park S & 6 Ave,431
576,Cleveland Pl & Spring St,427
1081,Lafayette St & E 8 St,427
